2025-05-19 19:39:44,303 | Camera 1 (Raspberry Pi 2 (Sample Video 1)) | Fire Detected: False | Confidence: 0.00
2025-05-19 19:39:44,341 | Camera 0 (Raspberry Pi 1 (Webcam)) | Fire Detected: False | Confidence: 0.00
2025-05-19 19:39:44,379 | Camera 1 (Raspberry Pi 2 (Sample Video 1)) | Fire Detected: False | Confidence: 0.00
2025-05-19 19:39:44,412 | Camera 0 (Raspberry Pi 1 (Webcam)) | Fire Detected: False | Confidence: 0.00
2025-05-19 19:39:44,603 | Camera 1 (Raspberry Pi 2 (Sample Video 1)) | Fire Detected: False | Confidence: 0.00
2025-05-19 19:39:44,642 | Camera 0 (Raspberry Pi 1 (Webcam)) | Fire Detected: False | Confidence: 0.00
2025-05-19 19:39:44,829 | Camera 1 (Raspberry Pi 2 (Sample Video 1)) | Fire Detected: True | Confidence: 0.45
2025-05-19 19:39:44,865 | Camera 0 (Raspberry Pi 1 (Webcam)) | Fire Detected: False | Confidence: 0.00
2025-05-19 19:39:45,050 | Camera 1 (Raspberry Pi 2 (Sample Video 1)) | Fire Detected: True | Confidence: 0.70
2025-05-19 19:39:45,088 | Camera 0 (Raspberry Pi 1 (Webcam)) | Fire Detected: False | Confidence: 0.00
2025-05-19 19:39:45,272 | Camera 1 (Raspberry Pi 2 (Sample Video 1)) | Fire Detected: False | Confidence: 0.00
2025-05-19 19:39:45,306 | Camera 0 (Raspberry Pi 1 (Webcam)) | Fire Detected: False | Confidence: 0.00
2025-05-19 19:39:45,496 | Camera 1 (Raspberry Pi 2 (Sample Video 1)) | Fire Detected: True | Confidence: 0.49
2025-05-19 19:39:45,528 | Camera 0 (Raspberry Pi 1 (Webcam)) | Fire Detected: False | Confidence: 0.00
2025-05-19 19:39:45,725 | Camera 1 (Raspberry Pi 2 (Sample Video 1)) | Fire Detected: False | Confidence: 0.00
2025-05-19 19:39:45,755 | Camera 0 (Raspberry Pi 1 (Webcam)) | Fire Detected: False | Confidence: 0.00
2025-05-19 19:39:45,949 | Camera 1 (Raspberry Pi 2 (Sample Video 1)) | Fire Detected: False | Confidence: 0.00
2025-05-19 19:39:45,981 | Camera 0 (Raspberry Pi 1 (Webcam)) | Fire Detected: False | Confidence: 0.00
2025-05-19 19:39:46,174 | Camera 1 (Raspberry Pi 2 (Sample Video 1)) | Fire Detected: False | Confidence: 0.00
2025-05-19 19:39:46,216 | Camera 0 (Raspberry Pi 1 (Webcam)) | Fire Detected: False | Confidence: 0.00
2025-05-19 19:39:46,441 | Camera 0 (Raspberry Pi 1 (Webcam)) | Fire Detected: False | Confidence: 0.00
2025-05-19 19:39:46,494 | Camera 1 (Raspberry Pi 2 (Sample Video 1)) | Fire Detected: False | Confidence: 0.00
2025-05-19 19:39:46,620 | Camera 1 (Raspberry Pi 2 (Sample Video 1)) | Fire Detected: False | Confidence: 0.00
2025-05-19 19:39:46,659 | Camera 0 (Raspberry Pi 1 (Webcam)) | Fire Detected: False | Confidence: 0.00
2025-05-19 19:39:46,823 | Camera 1 (Raspberry Pi 2 (Sample Video 1)) | Fire Detected: False | Confidence: 0.00
2025-05-19 19:39:46,856 | Camera 0 (Raspberry Pi 1 (Webcam)) | Fire Detected: False | Confidence: 0.00
2025-05-19 19:39:47,060 | Camera 1 (Raspberry Pi 2 (Sample Video 1)) | Fire Detected: False | Confidence: 0.00
2025-05-19 19:39:47,093 | Camera 0 (Raspberry Pi 1 (Webcam)) | Fire Detected: False | Confidence: 0.00
2025-05-19 19:39:47,286 | Camera 0 (Raspberry Pi 1 (Webcam)) | Fire Detected: False | Confidence: 0.00
2025-05-19 19:39:47,325 | Camera 1 (Raspberry Pi 2 (Sample Video 1)) | Fire Detected: False | Confidence: 0.00
2025-05-19 19:39:47,498 | Camera 0 (Raspberry Pi 1 (Webcam)) | Fire Detected: False | Confidence: 0.00
2025-05-19 19:39:47,532 | Camera 1 (Raspberry Pi 2 (Sample Video 1)) | Fire Detected: False | Confidence: 0.00
2025-05-19 19:39:47,709 | Camera 0 (Raspberry Pi 1 (Webcam)) | Fire Detected: False | Confidence: 0.00
2025-05-19 19:39:47,742 | Camera 1 (Raspberry Pi 2 (Sample Video 1)) | Fire Detected: True | Confidence: 0.57
2025-05-19 19:39:47,921 | Camera 0 (Raspberry Pi 1 (Webcam)) | Fire Detected: False | Confidence: 0.00
2025-05-19 19:39:47,960 | Camera 1 (Raspberry Pi 2 (Sample Video 1)) | Fire Detected: False | Confidence: 0.00
2025-05-19 19:39:48,140 | Camera 0 (Raspberry Pi 1 (Webcam)) | Fire Detected: False | Confidence: 0.00
2025-05-19 19:39:48,178 | Camera 1 (Raspberry Pi 2 (Sample Video 1)) | Fire Detected: False | Confidence: 0.00
2025-05-19 19:39:48,384 | Camera 1 (Raspberry Pi 2 (Sample Video 1)) | Fire Detected: False | Confidence: 0.00
2025-05-19 19:39:48,418 | Camera 0 (Raspberry Pi 1 (Webcam)) | Fire Detected: False | Confidence: 0.00
2025-05-19 19:39:48,586 | Camera 1 (Raspberry Pi 2 (Sample Video 1)) | Fire Detected: False | Confidence: 0.00
2025-05-19 19:39:48,618 | Camera 0 (Raspberry Pi 1 (Webcam)) | Fire Detected: False | Confidence: 0.00
2025-05-19 19:39:48,673 | Camera 1 (Raspberry Pi 2 (Sample Video 1)) | Fire Detected: False | Confidence: 0.00
2025-05-19 19:39:48,708 | Camera 0 (Raspberry Pi 1 (Webcam)) | Fire Detected: False | Confidence: 0.00
2025-05-19 19:39:48,783 | Camera 1 (Raspberry Pi 2 (Sample Video 1)) | Fire Detected: False | Confidence: 0.00
2025-05-19 19:39:48,852 | Camera 1 (Raspberry Pi 2 (Sample Video 1)) | Fire Detected: True | Confidence: 0.70
